Country Name,cca3,region,Subregion,Total value of Main Export exported in 2020 ($USD Billion),Main Export 2020,Export Class,Main Trade Partner,Volume of Trade ($USD Billions)
Afghanistan,AFG,Asia,"South Central Asia, Southern Asia",0.419,Gold,Precious Metals and Minerals,PAK,1.513
Albania,ALB,Europe,Southern Europe,0.254,Leather Footwear,Textiles and Apparel,ITA,3.33
Algeria,DZA,Africa,Northern AfricaTRUE,5.5,Crude Petroleum,Oil,CHN,8
American Samoa,ASM,Oceania,Polynesia,6.98,Animal Meal and Pellets,Food and Drink,USA,0.00219
Andorra,AND,Europe,Southern Europe,0.022,Integrated Circuits,Electronics,ESP,1.53
Angola,AGO,Africa,"Middle Africa, Sub-Saharan Africa",18.3,Crude Petroleum,Oil,CHN,27.3
Anguilla,AIA,North America,Caribbean,0.081,Packaged Medicaments,Medicines and Medical Instruments,USA,0.07
Antigua and Barbuda,ATG,North America,Caribbean,0.0279,Passenger and Cargo Ships,Transportation,USA,1.03497
Argentina,ARG,South America,"South America, Latin America",2.19,Soybean Meal,Food and Drink,BRA,23.77
Armenia,ARM,Asia,Western Asia,0.828,Copper Ore,Metals and Minerals,RUS,5
Aruba,ABW,North America,Caribbean,0.08,Refined Petroleum,Oil,COL,0.6105
Australia,AUS,Oceania,Australia and New Zealand,124,Iron Ore,Metals and Minerals,CHN,231.2
Austria,AUT,Europe,Western Europe,6.79,Cars,Transportation,DEU,137.16
Azerbaijan,AZE,Asia,Western Asia,6.3,Crude Petroleum,Oil,ITA,9.799
Bahamas,BHS,North America,Caribbean,0.153,Passenger and Cargo Ships,Transportation,USA,7.3
Bahrain,BHR,Asia,"Western Asia, The Middle East",2.38,Refined Petroleum,Oil,SAU,4
Bangladesh,BGD,Asia,"Southern Asia, South Central Asia",6.68,Non-Knit Men's Suits,Textiles and Apparel,CHN,25.11
Barbados,BRB,North America,Caribbean,0.0608,Hard Liquor,Food and Drink,USA,0.94994
Belarus,BLR,Europe,Eastern Europe,1.2,Refined Petroleum,Oil,RUS,40.1
Belgium,BEL,Europe,Western Europe,23,Cars,Transportation,DEU,134.136
Belize,BLZ,USA,Caribbean,0.77,Sugar and Molasses,Food and Drink,USA,0.13633
Benin,BEN,Africa,"Western Africa, Sub-Saharan Africa",0.625,Raw Cotton,Cash Crops,IND,1.81
Bermuda,BMU,North America,Northern America,0.6,Planes Helicopters and/or Spacecraft,Transportation,USA,0.4851
Bhutan,BTN,Asia,"Southern Asia, South Central Asia",0.224,Ferroalloys,Metals and Minerals,IND,1.02
Bolivia,BOL,South America,"South America, Latin America",2.33,Petroleum Gas,Oil,BRA,3.34
Bosnia and Herzegovina,BIH,Europe,Southern Europe,0.279,Electricity,Electronics,DEU,3.88
Botswana,BWA,Africa,"Southern Africa, Sub-Saharan Africa",7,Diamonds,Precious Metals and Minerals,ARE,2.676
Brazil,BRA,South America,"South America, Latin America",20.9,Soybeans,Food and Drink,CHN,165.6
British Virgin Islands,VGB,North America,Caribbean,0.09,Recreational Boats,Transportation,AUT,0.0625
Brunei,BRN,Asia,South-Eastern Asia,3.1,Petroleum Gas,Oil,SGP,2.5
Bulgaria,BGR,Europe,Eastern Europe,1.13,Refined Petroleum,Oil,RUS,3.372
Burkina Faso,BFA,Africa,"Western Africa, Sub-Saharan Africa",3.5,Gold,Precious Metals and Minerals,CHE,6.94
Burundi,BDI,Africa,"Eastern Africa, Sub-Saharan Africa",0.056,Gold,Precious Metals and Minerals,SAU,0.185
Cambodia,KHM,Asia,South-Eastern Asia,2.47,Knit Sweaters,Textiles and Apparel,USA,9.281
Cameroon,CMR,Africa,"Middle Africa, Sub-Saharan Africa",1.878,Crude Petroleum,Oil,CHN,4.14
Canada,CAN,North America,North America,81.2,Crude Petroleum,Oil,USA,908.9
Cape Verde,CPV,Africa,Western Africa,0.0526,Processed Fish,Food and Drink,ESP,0.15463
Cayman Islands,CYM,North America,Caribbean,2.01,Recreational Boats,Transportation,USA,0.013
Central African Republic,CAF,Africa,"Middle Africa, Sub-Saharan Africa",0.217,Rough Wood,Cash Crops,BEL,0.040
Chad,TCD,Africa,"Middle Africa, Sub-Saharan Africa",1.79,Crude Petroleum,Oil,USA,0.087
Chile,CHL,South America,"South America, Latin America",15.7,Copper Ore,Metals and Minerals,CHN,65.81
China,CHN,Asia,Eastern Asia,223,Broadcasting Equipment,Machinery,USA,758.4
Colombia,COL,South America,"South America, Latin America",11.3,Crude Petroleum,Oil,USA,53.5
Comoros,COM,Africa,"Eastern Africa, Sub-Saharan Africa",0.021,Cloves,Food and Drink,ARE,0.174
Cook Islands,COK,Oceania,Polynesia,0.013,Non-fillet Frozen Fish,Food and Drink,NZL,0.207
Costa Rica,CRI,North America,"Central America, Latin America",4.32,Medical Instruments,Medicines and Medical Instruments,USA,14.9
Croatia,HRV,Europe,Southern Europe,1.04,Refined Petroleum,Oil,ITA,7.45
Cuba,CUB,North America,Caribbean,0.275,Rolled Tobacco,Cash Crops,CHN,1.02
Curacao,CUW,North America,Caribbean,0.8,Gold,Precious Metals and Minerals,NLD,0.2882
Cyprus,CYP,Europe,"Eastern Europe, The Middle East",0.928,Passenger and Cargo Ships,Transportation,GRC,5.214
Czech Republic,CZE,Europe,Eastern Europe,23.6,Cars,Transportation,DEU,135.99
Denmark,DNK,Europe,Northern Europe,16.4,Packaged Medicaments,Medicines and Medical Instruments,DEU,35.33
Djibouti,DJI,Africa,"Eastern Africa, Sub-Saharan Africa",0.619,Palm Oil,Cash Crops,ARE,0.252
Dominica,DMA,North America,Caribbean,0.094,Medical Instruments,Medicines and Medical Instruments,SAU,0.0127
Dominican Republic,DOM,North America,Caribbean,1.78,Gold,Precious Metals and Minerals,USA,30.5
DR Congo,COD,Africa,"Middle Africa, Sub-Saharan Africa",8.95,Refined Copper,Metals and Minerals,CHN,16.1
Ecuador,ECU,South America,"South America, Latin America",7.44,Crude Petroleum,Oil,USA,18.3
Egypt,EGY,Africa,"Northern Africa, The Middle East",3.69,Crude Petroleum,Oil,CHN,16.2
